word,frequency
app,36026
great,21929
easy,19439
good,17085
love,12779
service,11896
use,10376
delivery,9460
always,9267
excellent,8836
best,8084
shopping,7963
order,7824
time,7333
takealot,6877
app.,6752
get,5797
online,5671
fast,4869
items,4735
awesome,4510
never,4324
user,4286
products,4190
quick,4170
convenient,3966
experience,3965
like,3761
friendly,3701
even,3634
one,3357
"app,",3338
using,3222
can't,3156
i'm,3113
really,3065
checkers,2753
still,2749
would,2747
nice,2733
amazing,2720
new,2667
shop,2647
need,2613
everything,2587
use.,2583
happy,2527
i've,2432
reliable,2339
want,2296
first,2288
find,2279
go,2204
ever,2180
also,2170
works,2166
thank,2162
service.,2157
well,2146
store,2102
buy,2083
efficient,2075
please,2065
much,2056
delivered,2030
update,1996
far,1988
payment,1930
it.,1871
ordered,1871
way,1866
deliver,1861
take,1848
product,1829
make,1749
makes,1747
customer,1729
keep,1697
item,1669
orders,1633
time.,1617
work,1612
back,1603
stock,1599
things,1596
every,1593
super,1590
search,1567
used,1530
problem,1526
since,1519
keeps,1514
times,1504
could,1498
2,1492
pay,1485
quality,1471
free,1470
exceptional,1465
simple,1451
prices,1443
option,1408
got,1404
something,1398
see,1396
add,1387
lot,1359
received,1344
money,1308
thanks,1306
cannot,1293
delivery.,1280
give,1267
deals,1253
card,1240
perfect,1233
anything,1214
takealot.,1207
issues,1197
fantastic,1196
made,1191
app!,1188
driver,1188
-,1187
many,1178
available,1177
place,1167
recommend,1155
try,1150
bad,1146
better,1141
absolutely,1131
stuff,1129
.,1126
know,1113
&,1112
👌,1096
order.,1079
3,1070
slow,1059
👍,1046
day,1043
able,1027
life,1025
5,1024
problems,1007
looking,1005
ordering,1005
without,1004
"use,",999
tried,989
",",989
says,979
issue,978
purchase,976
buying,973
guys,945
working,941
phone,938
easier,935
say,932
deliveries,929
receive,929
last,924
going,923
done,920
takes,905
enjoy,901
trying,900
u,891
experience.,889
account,887
wonderful,882
call,879
days,877
getting,874
sometimes,874
safe,867
choose,865
return,860
friendly.,843
convenient.,842
waiting,840
disappointed,836
60,835
help,822
"service,",822
almost,818
goods,818
helpful,813
wrong,792
long,790
options,783
check,782
email,776
nothing,775
woolworths,773
address,769
hassle,765
products.,764
wait,762
1,756
log,752
navigate,748
frustrating,745
thing,743
price,728
refund,728
open,727
old,724
cart,717
people,714
credit,712
extremely,710
drivers,710
woolies,704
placed,701
variety,697
pick,694
fix,692
needs,691
number,685
change,684
come,683
process,672
easy.,668
think,665
good.,663
bought,662
wish,661
services,658
access,654
select,650
returns,642
date,642
definitely,640
years,640
saying,640
allow,639
today,636
within,636
me.,632
items.,632
hours,631
dont,626
n,625
must,625
service!,624
especially,622
cool,617
us,617
next,616
"easy,",616
shopping.,615
updated,613
cant,610
food,607
specials,605
stock.,605
pleasure,602
well.,601
worst,589
yet,584
sixty60,583
different,580
great.,574
it!,571
unable,569
longer,565
4,565
alot,561
two,559
making,557
went,552
"it,",551
though,550
south,549
again.,548
another,547
version,545
brilliant,541
groceries,529
highly,529
poor,529
let,525
work.,524
however,523
terrible,523
actually,522
home,522
store.,520
live,519
bit,518
send,516
minutes,513
point,513
sure,511
track,508
already,505
now.,502
often,500
loving,486
paid,483
stars,482
useless,482
look,477
put,477
"time,",476
amount,475
apps,475
error,475
satisfied,471
show,470
"great,",467
that's,467
great!,466
convenience,466
said,466
there's,465
dash,464
"order,",464
quite,461
full,460
im,458
star,457
overall,457
staff,456
rather,453
right,453
less,451
later,450
affordable,449
previous,448
top,447
bank,446
week,444
all.,444
told,442
"fast,",441
gets,440
"takealot,",439
took,437
useful,437
"delivery,",434
you.,433
efficient.,432
savings,430
cancel,430
around,429
via,426
whole,426
due,424
comes,424
secure,423
seems,423
instead,416
fact,416
download,415
past,414
shows,413
reliable.,410
click,409
message,407
out.,398
big,398
gives,396
support,396
reviews,394
sent,393
list,392
alternative,390
range,390
cash,389
company,389
frustrating.,389
missing,387
purchases,385
team,382
available.,380
tracking,380
ever.,380
hope,379
impressed,376
details,374
enjoying,371
takealot!,371
10,370
delivers,370
trust,370
checkout,370
simply,369
payments,369
called,369
little,368
arrive,368
area,368
giving,368
load,365
"friendly,",361
started,360
function,359
everytime,356
shop.,356
"convenient,",355
fresh,354
half,354
login,354
customers,354
wide,353
lovely,351
found,350
stop,350
them.,350
effective,349
weeks,349
professional,348
!,346
takelot,346
smooth,345
website,344
hour,342
response,341
exactly,340
waste,340
sign,340
second,337
changed,337
👏,337
"quick,",337
for.,335
worked,335
wanted,334
far.,334
came,334
review,333
late,333
fine,333
delivered.,332
save,329
months,329
daily,328
issues.,327
start,327
ask,327
contact,326
"good,",326
latest,326
prices.,325
system,325
update.,325
😊,324
i'll,323
password,323
"experience,",322
multiple,321
extra,320
"products,",319
difficult,318
stores,318
view,316
shops,316
navigate.,315
cancelled,312
times.,312
application,311
given,310
cart.,308
arrived,307
usually,305
otherwise,304
online.,304
slow.,303
worth,303
experienced,302
reason,302
needed,301
lots,298
downloaded,298
job,298
tell,298
trustworthy,296
crashes,295
wow,295
twice,294
fast.,294
correct,294
end,293
pretty,293
user-friendly,292
added,292
someone,292
goes,291
up.,291
gave,291
rate,291
literally,290
updates,289
paying,288
screen,286
away,284
expensive,284
in.,284
problem.,283
understand,283
notifications,283
site,282
purchasing,281
1st,279
month,279
plus,279
100%,277
orders.,276
otp,276
care,276
deals.,275
this.,274
grocery,274
expected,273
anyone,272
seamless,271
sort,271
searching,271
straight,271
door,268
telling,268
enough,268
what's,267
sa,267
supposed,266
several,265
"items,",264
disappointed.,264
vouchers,264
earlier,263
feel,263
link,262
platform,262
complaints,262
close,260
xtra,260
use!,259
loved,258
easier.,258
comfort,258
need.,257
day.,257
perfectly,256
certain,256
uninstalled,256
hate,255
30,254
lost,254
excellent.,254
discounts,253
register,253
constantly,251
clear,251
speedy,251
package,250
checkers.,249
i'd,248
single,248
basket,247
forever,247
saves,246
collect,246
❤️,246
kept,246
...,245
forward,245
special,243
adding,243
"stock,",243
tip,242
year,242
person,241
notification,241
cheaper,241
annoying,240
easily,240
feature,240
maybe,240
business,240
africa,239
ok,239
parcel,239
seem,238
complete,237
horrible,237
anymore.,237
totally,236
prompt,236
reasonable,236
else,235
small,235
charged,235
issue.,233
faster,232
happened,232
either,232
part,231
shopper,228
drive,228
rating,227
placing,227
purchased,226
quickly,225
may,225
sixty,224
information,224
"slow,",224
pleasant,224
thought,224
"shopping,",224
leave,223
app...,223
"update,",222
spend,222
location,221
value,221
"however,",221
better.,221
product.,220
selection,220
hard,220
page,219
item.,219
collection,219
alternatives,218
bring,218
completely,218
too.,217
enter,217
fee,216
might,216
real,216
least,216
delete,216
"now,",215
options.,215
delivering,214
interface,214
hyper,213
quick.,213
card.,213
everyone,213
6,213
superb,213
communication,212
anymore,212
account.,211
asking,210
receiving,209
taking,209
shipping,209
family,209
left,208
problems.,208
line,208
feedback,208
become,208
app!!,208
except,207
l,207
awsome,207
money.,207
remove,206
continue,206
logged,206
gone,206
replacement,205
address.,205
deal,204
refunded,204
bread,203
functionality,203
best.,203
till,202
date.,202
button,202
amazing.,202
terrible.,202
from.,201
centre,201
incorrect,201
mobile,200
honestly,200
huge,200
specific,200
awesome.,199
thus,199
browse,199
minutes.,198
offer,197
working.,197
struggling,197
selected,196
ease,195
set,195
returned,195
canceled,194
favourite,194
sales,194
tells,194
